Feature,MI
Displacement_mm,0.3026319852667845
ANNUAL,0.3009174507627126
Strain_micro,0.2774934853802189
PorePressure_kPa,0.2749254282784894
Jun-Sep,0.22448910683425938
crack_density,0.1488154978343239
MAY,0.14790775876434314
debris_entropy,0.13676776447856498
Mar-May,0.127622845122904
debris_homogeneity,0.12214640302300861
SEP,0.1216648682061039
debris_contrast,0.11646615671302252
OCT,0.09019328370323065
Oct-Dec,0.08039600399404878
dem_slope,0.06545060082431275
vegetation_green_ratio,0.06200090844637307
dem_elevation,0.05510235927611262
dem_aspect,0.051623196040477604
SeismicVibration_mm/s,0.02109718029154961
